name,category
L'encas Des Gourmands,traiteur
Boulangerie Le B,"biscuits-gateaux-patisserie, boulangerie"
Moulin Decollogne,cereales-farines-graines
Le Chant Boréal,"poissons-mollusques-crustaces, traiteur"
La Ruche à Pain,boulangerie
Brullebaut,legumes
V'la Le Vrac,"aperitif, cafe-the-infusions, cereales-farines-graines, condiments-huiles-epices"
Reflet D'abeilles,confitures-miel-confiseries
Moulin Du Foulon,cereales-farines-graines
La Réserve Bio,"aperitif, biscuits-gateaux-patisserie, cafe-the-infusions, cereales-farines-graines"
Safran des Aulnes,"condiments-huiles-epices, confitures-miel-confiseries"
Le Fournil Des Diablotins,
Ferme Des Mignotines,"viande-charcuterie-escargots, cosmetiques, paniers-composes, produits-laitier-oeufs"
Ferme Cul De Sac,produits-laitier-oeufs
Ferme Hazotte,"viande-charcuterie-escargots, traiteur"
Brasserie Belenium - Beaune,boissons-alcoolisees
Cidrerie Eclectik,"boissons-alcoolisees, boissons-sans-alcool"
Origine Gourmande,confitures-miel-confiseries
Ruchers De Borne,confitures-miel-confiseries
Gaec Verstraete,viande-charcuterie-escargots
Châtaigne & Co.,"confitures-miel-confiseries, fruits-secs"
Miel Des Côteaux De L'albane,confitures-miel-confiseries
Les Abeilles De La Vouge,"confitures-miel-confiseries, maison-entretien"
Variot-apiculture,"biscuits-gateaux-patisserie, confitures-miel-confiseries, maison-entretien"
Ferme De Sous La Velle,"aperitif, viande-charcuterie-escargots, traiteur"
Gabrielle Pâtisseries,"biscuits-gateaux-patisserie, boulangerie, traiteur"
Gaec De La Seine,"viande-charcuterie-escargots, condiments-huiles-epices"
Chevrerie De Blancey,"confitures-miel-confiseries, produits-laitier-oeufs"
Fromagerie Du Petit Chêne,produits-laitier-oeufs
Oze Apiculture,confitures-miel-confiseries
Domaine Durand Loic,boissons-alcoolisees
scea dubreuil,produits-laitier-oeufs
Sheep'iie,"cosmetiques, maison-entretien, hygiene"
Oceane Cafe,"cafe-the-infusions, confitures-miel-confiseries"
Ferme Cérès,"boulangerie, cereales-farines-graines, legumes"
Fromagerie Gaugry,produits-laitier-oeufs
Les Ruchers De Darbois,"biscuits-gateaux-patisserie, condiments-huiles-epices, confitures-miel-confiseries"
Les ânesses De La Côte Du Puits,cosmetiques
La Ferme Du Rabutin,"cereales-farines-graines, viande-charcuterie-escargots, legumes, produits-laitier-oeufs"
Les P'tits Chap'ô,champignons
Elevage Des Alpagas De  La Tille,"atelier-artisanat-culture, confitures-miel-confiseries, vetements"
Elbf Cosmetique,cosmetiques
Jean-françois Blaise,"animaux, cereales-farines-graines, condiments-huiles-epices"
Le Farfadet,"biscuits-gateaux-patisserie, fruits, produits-laitier-oeufs"
Strega Della Veda,cosmetiques
Thibaut Gillot,"fruits, legumes"
Domaine Olivier Van Hecke,boissons-alcoolisees
Armand Heitz,"aperitif, boissons-alcoolisees, viande-charcuterie-escargots, confitures-miel-confiseries"
Fred Traiteur,traiteur
Laquina (lycée Agricole De La Barotte),"cosmetiques, hygiene"
Le Potager D'ida Et Bertrand,"legumes, paniers-composes, plantes-aromatiques-medicinales, produits-laitier-oeufs"
Le Potager De La Borde,"fleurs-arbres, fruits, legumes, plants-graines"
Scea Etablissements Marchand,fleurs-arbres
Earl La Grange Aux Volailles,volailles-gibiers
Earl Apidae,confitures-miel-confiseries
F . Malin,traiteur
La Boite à T'oeufs,cereales-farines-graines
Savonnerie Badiane,"atelier-artisanat-culture, cours-visites, cosmetiques, hygiene"
Domaine   Bougaud,boissons-alcoolisees
